file_name,resolved_path,stats
0006.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0006.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855396, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=78, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0010.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0010.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855400, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=127, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0015.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0015.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17854580, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=187, st_atime=1663768970, st_mtime=1663603263, st_ctime=1663603263)"
0019.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0019.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855409, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=235, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0017.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0017.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855464, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=211, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0007.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0007.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855454, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=90, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0016.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0016.ihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoomihatezoom,"os.stat_result(st_mode=33188, st_ino=17855463, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=199, st_atime=1663768970, st_mtime=1663603461, st_ctime=1663603461)"
0012.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0012.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855402, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=151, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0003.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0003.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855393, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=41, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
0015.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,/Users/wickes1/PycharmProjects/IS305/week 5/data/0015.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom.ihatezoom,"os.stat_result(st_mode=33188, st_ino=17855405, st_dev=16777229, st_nlink=1, st_uid=503, st_gid=20, st_size=187, st_atime=1663768970, st_mtime=1663603374, st_ctime=1663603374)"
